url_length,domain_length,path_length,num_dots,num_hyphens,num_underscores,num_slashes,num_digits,num_subdomains,digit_letter_ratio,url_entropy,domain_entropy,has_ip_address,has_https,has_at_symbol,has_double_slash_redirect,has_dash_in_domain,has_equals,has_question_mark,has_ampersand,has_tilde,has_percent_encoding,has_non_standard_port,has_suspicious_tld,has_www,has_fragment,suspicious_word_count,num_query_params,query_length,num_path_tokens,max_path_token_length,special_char_ratio,label
52.0,14.0,21.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0031,4.2615,2.5676,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,6.0,0.0514,0
36.0,15.0,3.0,1.0,1.0,1.0,4.0,0.0,0.0,0.1026,3.6878,2.3914,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,7.0,3.0,7.0,0.0895,0
56.0,15.0,13.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0211,3.3494,3.0328,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,10.0,0.0638,0
43.0,20.0,18.0,2.0,0.0,0.0,3.0,1.0,1.0,0.0038,3.1774,2.2325,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,2.0,11.0,0.0871,0
37.0,17.0,15.0,3.0,1.0,0.0,2.0,0.0,1.0,0.1227,3.9843,1.7379,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,9.0,0.0301,0
45.0,27.0,13.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0356,3.6508,2.4793,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,12.0,0.0226,0
29.0,17.0,5.0,3.0,0.0,0.0,2.0,3.0,1.0,0.0387,4.275,3.2175,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,11.0,2.0,9.0,0.078,0
34.0,16.0,17.0,1.0,0.0,0.0,3.0,1.0,0.0,0.1068,3.1428,2.4995,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,0.0631,0
45.0,22.0,12.0,1.0,0.0,0.0,2.0,1.0,0.0,0.1411,4.8601,2.7503,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,10.0,0.0097,0
45.0,9.0,18.0,2.0,0.0,0.0,2.0,2.0,1.0,0.1301,3.7804,2.8096,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0543,0
55.0,6.0,10.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0078,4.0445,3.7556,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,13.0,0.0696,0
26.0,13.0,10.0,2.0,0.0,0.0,2.0,4.0,1.0,0.0832,3.1733,2.2693,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,13.0,0.0473,0
41.0,8.0,31.0,2.0,0.0,0.0,3.0,1.0,1.0,0.0988,2.7849,2.719,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,11.0,0.0,8.0,0.0069,0
49.0,11.0,12.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0943,3.2535,2.9448,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,2.0,9.0,0.0429,0
57.0,19.0,28.0,2.0,1.0,0.0,2.0,3.0,0.0,0.0479,3.5105,3.5649,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,11.0,0.0888,0
32.0,13.0,19.0,2.0,0.0,0.0,4.0,0.0,1.0,0.1059,3.2181,3.2617,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,6.0,0.0469,0
49.0,10.0,20.0,3.0,0.0,0.0,4.0,0.0,2.0,0.0018,4.2664,2.8279,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,10.0,0.0281,0
77.0,10.0,6.0,2.0,0.0,0.0,2.0,5.0,2.0,0.1047,3.2003,2.0349,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,10.0,0.0,9.0,0.0026,0
62.0,12.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0085,4.1769,2.9038,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,8.0,0.0672,0
21.0,21.0,18.0,2.0,0.0,0.0,4.0,1.0,1.0,0.1315,3.1258,2.3918,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,7.0,0.0348,0
67.0,15.0,31.0,3.0,1.0,0.0,5.0,1.0,0.0,0.0689,2.8099,2.7975,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,9.0,0.0474,0
30.0,17.0,9.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0755,3.1036,2.7592,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,0.0485,0
22.0,21.0,31.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0161,3.3755,3.4095,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0498,0
46.0,10.0,30.0,2.0,0.0,0.0,3.0,1.0,1.0,0.0534,3.7695,2.8111,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,8.0,0.0982,0
41.0,10.0,9.0,1.0,0.0,1.0,3.0,1.0,0.0,0.1154,3.8777,2.5742,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0134,0
